estimand,dv,method,k,estimate,std.error,conf.low,conf.high,p.value,tau2,tau
sates,Favorability,DL (published),59,0.04922782972267649,0.02000094498066864,0.010026697903798794,0.08842896154155419,0.09190442047183593,0.004649277977019681,0.06818561415005134
sates,Favorability,REML (added here),59,0.049821423056399874,0.01944717861366046,0.011705653372707799,0.08793719274009196,0.09190442047183593,0.0035060554889421104,0.05921195393619527
sates,Vote Choice,DL (published),34,0.007181148974052165,0.007327245369410718,-0.007179988055880724,0.021542286003985056,0.0699520982406853,4.922475942910388e-4,0.02218665351717196
sates,Vote Choice,REML (added here),34,0.007145068773293283,0.007358226935643353,-0.007276791010640214,0.021566928557226778,0.0699520982406853,5.065728169440045e-4,0.022507172566628722
cates,Favorability,DL (published),354,0.058452271497940675,0.01783942762477388,0.023487635848574953,0.0934169071473064,1.6505690635520715e-4,0.021733531437491294,0.1474229678085857
cates,Favorability,REML (added here),354,0.059874809674876746,0.015884334120403583,0.028742086880485008,0.09100753246926849,1.6505690635520715e-4,0.007374463394915532,0.08587469589416624
cates,Vote Choice,DL (published),204,0.008263563657385379,0.005144898651409125,-0.0018202524034851997,0.01834737971825596,0.09610393717584173,5.386489056590608e-4,0.023208810948841408
cates,Vote Choice,REML (added here),204,0.008424364592333953,0.004937180861306449,-0.0012523320809871303,0.018101061265655034,0.09610393717584173,3.4662933412813547e-4,0.018617984158553133
