set,k,max_abs_diff_estimate,max_abs_diff_std_error,max_abs_diff_ci_lower,max_abs_diff_ci_upper,n_rows_bounds_relabelled
favorability_sates,59,4.6074255521944e-15,3.3306690738754696e-16,5.10702591327572e-15,4.218847493575595e-15,41
vote_choice_sates,34,9.471590178833367e-16,6.938893903907228e-17,9.43689570931383e-16,9.575673587391975e-16,30
favorability_cates,354,1.7763568394002505e-15,3.3306690738754696e-15,6.8833827526759706e-15,7.327471962526033e-15,246
vote_choice_cates,204,4.961309141293668e-16,3.885780586188048e-16,1.4988010832439613e-15,2.1649348980190553e-15,180
