dv,est_type,date,ad_id,ad_title,ad_valence,estimate,std.error,conf.low,conf.high,est_entry
Favorability,Weekly estimates,2016-03-14,4,Scam,Anti Trump,-0.016089546856377705,0.15969110654563945,-0.32947388160486507,0.29729478789210967,-0.016 (0.160)
Favorability,Weekly estimates,2016-03-14,5,Man of People,Anti Trump,0.019516996158043247,0.14788581759395814,-0.2707001584971746,0.3097341508132611,0.020 (0.148)
Favorability,Weekly estimates,2016-03-14,6,Plain Wrong,Anti Trump,0.008794580892487663,0.15517831300635768,-0.29573366392239464,0.31332282570737,0.009 (0.155)
Favorability,Weekly estimates,2016-03-21,8,Quotes,Anti Trump,0.22480054382693382,0.14974492720982718,-0.0691769016039695,0.5187779892578371,0.225 (0.150)
Favorability,Weekly estimates,2016-04-05,8,Quotes,Anti Trump,0.31622130403661475,0.18181467722556222,-0.04071910050075861,0.673161708573988,0.316 (0.182)
Favorability,Weekly estimates,2016-04-25,24,Broken,Pro Trump,0.0992830095972785,0.2130126276076038,-0.3190856008799663,0.5176516200745233,0.099 (0.213)
Favorability,Weekly estimates,2016-05-09,26,Unifier,Anti Trump,-0.5209436030694639,0.1958210060752906,-0.9055387097325078,-0.13634849640641994,-0.521 (0.196)
Favorability,Weekly estimates,2016-05-09,27,Harrassment,Anti Trump,-0.2516713649333413,0.20055284987377725,-0.6455598768692196,0.14221714700253696,-0.252 (0.201)
Favorability,Weekly estimates,2016-05-23,8,Quotes,Anti Trump,0.19616787882366604,0.17525472633654915,-0.14802876986342,0.540364527510752,0.196 (0.175)
Favorability,Weekly estimates,2016-05-23,33,Speak,Anti Trump,-0.016533079432458825,0.17106435379784699,-0.35249992333926217,0.31943376447434446,-0.017 (0.171)
Favorability,Weekly estimates,2016-06-06,38,Extreme Makeover,Anti Trump,-0.29792734198396625,0.19837045985120844,-0.6875351332047176,0.09168044923678509,-0.298 (0.198)
Favorability,Weekly estimates,2016-06-06,39,Grace,Anti Trump,-0.20417766820994834,0.1770531435899843,-0.5519173682364797,0.14356203181658309,-0.204 (0.177)
Favorability,Weekly estimates,2016-06-20,33,Speak,Anti Trump,0.11962102467615049,0.09777747270112995,-0.07213741492117909,0.31137946427348007,0.120 (0.098)
Favorability,Weekly estimates,2016-07-04,44,Tested,Anti Trump,0.03398181409160012,0.10608400364602096,-0.17406755396509865,0.24203118214829888,0.034 (0.106)
Favorability,Weekly estimates,2016-07-18,47,Role Model,Anti Trump,0.025178298987239167,0.10198848893139698,-0.17483898212256507,0.2251955800970434,0.025 (0.102)
Favorability,Weekly estimates,2016-08-01,50,Someplace,Anti Trump,0.19751481839884655,0.0889892170625947,0.022992312387514202,0.3720373244101789,0.198 (0.089)
Favorability,Weekly estimates,2016-08-15,47,Role Model,Anti Trump,0.1192153150345381,0.09857718269403049,-0.07411131175669643,0.3125419418257726,0.119 (0.099)
Favorability,Weekly estimates,2016-08-15,54,Unfit,Anti Trump,0.15786201801695482,0.10004233743813312,-0.03833802650304269,0.3540620625369523,0.158 (0.100)
Favorability,Weekly estimates,2016-08-29,59,Everything,Anti Trump,-0.0838446873189803,0.12996021668675367,-0.3388750874782887,0.17118571284032807,-0.084 (0.130)
Favorability,Weekly estimates,2016-09-05,60,Sacrifice,Anti Trump,0.1979694999019414,0.14996814712901466,-0.09632391964235631,0.4922629194462391,0.198 (0.150)
Favorability,Weekly estimates,2016-09-05,99,Sacrifice,Anti Trump,0.15757832933463184,0.1369902436780806,-0.11124760489223084,0.4264042635614945,0.158 (0.137)
Favorability,Weekly estimates,2016-09-12,62,Agree,Anti Trump,0.037667038015812275,0.12822763149762656,-0.21396464371911833,0.2892987197507429,0.038 (0.128)
Favorability,Weekly estimates,2016-09-19,74,Movement,Pro Trump,-0.05955913777576337,0.1335585356311249,-0.32165275345018496,0.2025344778986582,-0.060 (0.134)
Favorability,Weekly estimates,2016-09-19,75,Families,Anti Trump,0.07362572205808503,0.13350393327350404,-0.18836074262620645,0.33561218674237653,0.074 (0.134)
Favorability,Weekly estimates,2016-09-26,63,Mirrors,Anti Trump,0.03874634297237802,0.16287474166010832,-0.28100105149665583,0.35849373744141183,0.039 (0.163)
Favorability,Weekly estimates,2016-10-03,66,Arrogant,Anti Trump,0.09407566755930953,0.16382463947341272,-0.22754724243470442,0.41569857755332346,0.094 (0.164)
Favorability,Weekly estimates,2016-10-10,8,Quotes,Anti Trump,-0.09733652039202899,0.12821824093435727,-0.34894914316160763,0.15427610237754963,-0.097 (0.128)
Favorability,Weekly estimates,2016-10-10,63,Mirrors,Anti Trump,0.12515896779886773,0.11524636589653965,-0.10099793605958107,0.35131587165731654,0.125 (0.115)
Favorability,Weekly estimates,2016-10-17,68,America's Bullies,Anti Trump,0.1730464541787793,0.1342346713822038,-0.09047968568293538,0.436572594040494,0.173 (0.134)
Favorability,Weekly estimates,2016-10-24,70,Captain Khan,Anti Trump,0.21708099484967439,0.1449070838197166,-0.06740398967213526,0.5015659793714841,0.217 (0.145)
Favorability,Weekly estimates,2016-10-31,71,Example,Anti Trump,0.43202600389017976,0.14274925361316249,0.15178486932426494,0.7122671384560946,0.432 (0.143)
Favorability,Weekly estimates,2016-10-31,72,Consumer Benefit,Pro Trump,-0.3125749963930961,0.1438940391461121,-0.5950635402341433,-0.030086452552048892,-0.313 (0.144)
Favorability,Weekly estimates,2016-11-07,77,Daughters,Anti Trump,-0.0033731366356975156,0.14476247896822553,-0.28756846599653413,0.28082219272513914,-0.003 (0.145)
Favorability,Weekly estimates,2016-03-21,9,Real Life,Pro Clinton,-0.12167732572221092,0.14517010516591214,-0.40667609358691503,0.16332144214249322,-0.122 (0.145)
Favorability,Weekly estimates,2016-03-28,12,All the Good,Pro Clinton,0.19024190045701858,0.1555000712032017,-0.1150353410384373,0.4955191419524745,0.190 (0.156)
Favorability,Weekly estimates,2016-04-05,9,Real Life,Pro Clinton,0.08437508042687633,0.14848798556197623,-0.20713671206526194,0.37588687291901457,0.084 (0.148)
Favorability,Weekly estimates,2016-04-11,18,I'm with him,Pro Clinton,0.17845620722883596,0.15792276086831797,-0.1315843042744311,0.488496718732103,0.178 (0.158)
Favorability,Weekly estimates,2016-05-16,30,Love/Kindness,Pro Clinton,0.26739749575308186,0.13996234856452497,-0.007496316626620758,0.5422913081327845,0.267 (0.140)
Favorability,Weekly estimates,2016-05-30,30,Love/Kindness,Pro Clinton,-0.18059004582649735,0.1717618783198997,-0.5179210257593241,0.15674093410632944,-0.181 (0.172)
Favorability,Weekly estimates,2016-06-20,42,Moments,Pro Clinton,0.16188381273034555,0.08770769239200454,-0.010125679575764879,0.333893305036456,0.162 (0.088)
Favorability,Weekly estimates,2016-07-04,45,Stop Clinton,Anti Clinton,0.16036985872121257,0.11036921031358597,-0.05608273773713182,0.3768224551795569,0.160 (0.110)
Favorability,Weekly estimates,2016-07-18,48,Same Old,Anti Clinton,-0.029310981248525433,0.09397061047461856,-0.21360339383071567,0.1549814313336648,-0.029 (0.094)
Favorability,Weekly estimates,2016-08-01,51,Outsource,Anti Clinton,-0.0308863120560596,0.09751439672263405,-0.22212768564496124,0.16035506153284204,-0.031 (0.098)
Favorability,Weekly estimates,2016-08-22,56,Depend,Pro Clinton,0.02957848060248916,0.1348201775913655,-0.2349902993312277,0.294147260536206,0.030 (0.135)
Favorability,Weekly estimates,2016-08-22,57,2 Americas: Immigration,Anti Clinton,0.04919838065212616,0.14442429587996175,-0.23421735456193843,0.3326141158661908,0.049 (0.144)
Favorability,Weekly estimates,2016-08-29,58,2 Americas: Economy,Anti Clinton,0.12748928412524474,0.13967281188932096,-0.14660256603902588,0.40158113428951536,0.127 (0.140)
Favorability,Weekly estimates,2016-09-12,61,Deplorables,Anti Clinton,-0.14213735240725336,0.1422648893290428,-0.4213148054065522,0.13704010059204544,-0.142 (0.142)
Favorability,Weekly estimates,2016-09-26,64,Defenseless,Anti Clinton,0.04683612609512634,0.15723192086307008,-0.261836274114107,0.35550852630435964,0.047 (0.157)
Favorability,Weekly estimates,2016-10-03,65,50-pts?,Anti Clinton,-0.0778709836638041,0.1530953371690089,-0.37842929070354325,0.22268732337593508,-0.078 (0.153)
Favorability,Weekly estimates,2016-10-17,67,Change,Anti Clinton,-0.2789882630016602,0.11960967392100495,-0.5138055915613371,-0.044170934441983306,-0.279 (0.120)
Favorability,Weekly estimates,2016-10-24,69,Laura,Anti Clinton,-0.017970799573627884,0.15010256659471818,-0.31265433692759453,0.2767127377803387,-0.018 (0.150)
Favorability,Weekly estimates,2016-11-07,76,Unfit to Serve,Anti Clinton,0.06284148092540846,0.125244914653262,-0.18303456764587495,0.30871752949669184,0.063 (0.125)
Favorability,Weekly estimates,2016-03-28,11,America,Pro Sanders,0.0487657301865004,0.16409893544810839,-0.2734030920406928,0.37093455241369355,0.049 (0.164)
Favorability,Weekly estimates,2016-04-11,17,Erica,Pro Sanders,0.23967677577408386,0.1631943027358889,-0.08072513585223784,0.5600786874004056,0.240 (0.163)
Favorability,Weekly estimates,2016-05-16,11,America,Pro Sanders,-0.0030315010905916876,0.16019387135040114,-0.317669155489793,0.31160615330860963,-0.003 (0.160)
Favorability,Weekly estimates,2016-05-30,11,America,Pro Sanders,0.09666944497070414,0.17860252857398415,-0.25410465378352026,0.4474435437249285,0.097 (0.179)
Favorability,Weekly estimates,2016-04-18,21,Suggest,Pro Kasich,-0.0927348972999428,0.14957062206256633,-0.38642325911394304,0.20095346451405746,-0.093 (0.150)
Favorability,Weekly estimates,2016-04-18,20,Math,Pro Cruz,0.25386384197386436,0.15110906933736093,-0.042812378130945294,0.550540062078674,0.254 (0.151)
Favorability,Weekly estimates,2016-04-25,23,Not Easy,Pro Cruz,-0.0011184884803872802,0.1475742307949655,-0.2909763077799252,0.2887393308191507,-0.001 (0.148)
Vote Choice,Weekly estimates,2016-06-20,42,Moments,Pro Clinton,0.03719255578085068,0.024639839772942863,-0.01113013719672263,0.08551524875842398,0.037 (0.025)
Vote Choice,Weekly estimates,2016-07-04,45,Stop Clinton,Anti Clinton,0.049806178453951175,0.03170453157932408,-0.012371512619665521,0.11198386952756786,0.050 (0.032)
Vote Choice,Weekly estimates,2016-07-18,48,Same Old,Anti Clinton,-0.004755242130376588,0.02966559217235897,-0.0629342806162346,0.05342379635548143,-0.005 (0.030)
Vote Choice,Weekly estimates,2016-08-01,51,Outsource,Anti Clinton,-0.03482026425888747,0.028099349511264693,-0.0899274776068961,0.020286949089121147,-0.035 (0.028)
Vote Choice,Weekly estimates,2016-08-22,56,Depend,Pro Clinton,-0.0594503875838508,0.04458659901135091,-0.14694526834171176,0.028044493174010164,-0.059 (0.045)
Vote Choice,Weekly estimates,2016-08-22,57,2 Americas: Immigration,Anti Clinton,0.0548847581572657,0.04540852269389943,-0.034223031326339005,0.1439925476408704,0.055 (0.045)
Vote Choice,Weekly estimates,2016-08-29,58,2 Americas: Economy,Anti Clinton,-0.0037033927524675386,0.042869101167764156,-0.08782803113110677,0.0804212456261717,-0.004 (0.043)
Vote Choice,Weekly estimates,2016-09-12,61,Deplorables,Anti Clinton,-0.033824955342859585,0.04162084331718217,-0.11550026356758097,0.04785035288186181,-0.034 (0.042)
Vote Choice,Weekly estimates,2016-09-26,64,Defenseless,Anti Clinton,-0.025635211059297967,0.04775147653516413,-0.11937786674048786,0.06810744462189194,-0.026 (0.048)
Vote Choice,Weekly estimates,2016-10-03,65,50-pts?,Anti Clinton,-0.003388072890455218,0.04478930174858956,-0.09131789299203491,0.08454174721112448,-0.003 (0.045)
Vote Choice,Weekly estimates,2016-10-17,67,Change,Anti Clinton,-0.07501644239822404,0.03711574639625643,-0.1478809836625476,-0.0021519011339004857,-0.075 (0.037)
Vote Choice,Weekly estimates,2016-10-24,69,Laura,Anti Clinton,-0.015550830360710487,0.04131541321997223,-0.09666221829685173,0.06556055757543075,-0.016 (0.041)
Vote Choice,Weekly estimates,2016-11-07,76,Unfit to Serve,Anti Clinton,-0.07477061346075854,0.04408117021217843,-0.16130908872081018,0.011767861799293095,-0.075 (0.044)
Vote Choice,Weekly estimates,2016-06-20,33,Speak,Anti Trump,0.014897155933765355,0.026580610641945064,-0.03723170119531333,0.06702601306284404,0.015 (0.027)
Vote Choice,Weekly estimates,2016-07-04,44,Tested,Anti Trump,0.023327852754218125,0.03182321630248941,-0.039082598170578464,0.08573830367901471,0.023 (0.032)
Vote Choice,Weekly estimates,2016-07-18,47,Role Model,Anti Trump,0.02499169209656931,0.029830028328094293,-0.0335098323648731,0.08349321655801173,0.025 (0.030)
Vote Choice,Weekly estimates,2016-08-01,50,Someplace,Anti Trump,0.04236753839254438,0.02457791397863028,-0.0058335898480368215,0.09056866663312559,0.042 (0.025)
Vote Choice,Weekly estimates,2016-08-15,47,Role Model,Anti Trump,0.06865299289139369,0.029599069033431593,0.01060447073310291,0.12670151504968447,0.069 (0.030)
Vote Choice,Weekly estimates,2016-08-15,54,Unfit,Anti Trump,0.03633787477554412,0.030070140690447025,-0.02263449446352874,0.09531024401461699,0.036 (0.030)
Vote Choice,Weekly estimates,2016-08-29,59,Everything,Anti Trump,-0.048894261908470314,0.0396085251592583,-0.12662047414450872,0.028831950327568086,-0.049 (0.040)
Vote Choice,Weekly estimates,2016-09-05,60,Sacrifice,Anti Trump,-0.04987456232887329,0.042821329199069995,-0.13390576687838232,0.03415664222063575,-0.050 (0.043)
Vote Choice,Weekly estimates,2016-09-05,99,Sacrifice,Anti Trump,0.005348220819737764,0.041367679970802755,-0.07583038905490973,0.08652683069438526,0.005 (0.041)
Vote Choice,Weekly estimates,2016-09-12,62,Agree,Anti Trump,0.049076065250172836,0.03933332621976532,-0.02811029827496552,0.1262624287753112,0.049 (0.039)
Vote Choice,Weekly estimates,2016-09-19,74,Movement,Pro Trump,-0.021797981229562495,0.04040036168658916,-0.10107806232923819,0.057482099870113205,-0.022 (0.040)
Vote Choice,Weekly estimates,2016-09-19,75,Families,Anti Trump,0.0061708977470704834,0.03849626403798358,-0.06937265700231607,0.08171445249645704,0.006 (0.038)
Vote Choice,Weekly estimates,2016-09-26,63,Mirrors,Anti Trump,0.023191799131382595,0.04701242748073718,-0.06910000254344717,0.11548360080621237,0.023 (0.047)
Vote Choice,Weekly estimates,2016-10-03,66,Arrogant,Anti Trump,0.017785561483674057,0.04525662148103154,-0.07106169511276761,0.10663281808011574,0.018 (0.045)
Vote Choice,Weekly estimates,2016-10-10,8,Quotes,Anti Trump,-0.017224901065393355,0.03867201510478372,-0.09311353045436974,0.05866372832358302,-0.017 (0.039)
Vote Choice,Weekly estimates,2016-10-10,63,Mirrors,Anti Trump,0.021313784509354984,0.0363173714902623,-0.04995417341677249,0.09258174243548245,0.021 (0.036)
Vote Choice,Weekly estimates,2016-10-17,68,America's Bullies,Anti Trump,0.03682263888473125,0.03654147206172139,-0.03491450390297185,0.10855978167243435,0.037 (0.037)
Vote Choice,Weekly estimates,2016-10-24,70,Captain Khan,Anti Trump,0.01315760958820827,0.04195539718383334,-0.06921020987118237,0.09552542904759892,0.013 (0.042)
Vote Choice,Weekly estimates,2016-10-31,71,Example,Anti Trump,0.09700839445682584,0.0384748905847351,0.02147677771280053,0.17254001120085116,0.097 (0.038)
Vote Choice,Weekly estimates,2016-10-31,72,Consumer Benefit,Pro Trump,-0.08431371587555976,0.03867546944583058,-0.16023909710943726,-0.00838833464168226,-0.084 (0.039)
Vote Choice,Weekly estimates,2016-11-07,77,Daughters,Anti Trump,0.03975156934133743,0.04058478056152217,-0.03992292685857518,0.11942606554125004,0.040 (0.041)
Favorability,Meta-analysis,2018-01-15,NA,NA,NA,0.04922782972267649,0.02000094498066864,0.010026697903798794,0.08842896154155419,0.049 (0.020)
Vote Choice,Meta-analysis,2018-01-15,NA,NA,NA,0.007181148974052165,0.007327245369410718,-0.007179988055880724,0.021542286003985056,0.007 (0.007)
