ad_id,ad_title,ad_valence,outcome,n_weeks,estimate,std.error,p.value,tau2,tau
8,Quotes,Anti Trump,favorDT_rev,4,-0.051937802133263336,0.06137576865499601,0.32918811755118815,0.001931563709484639,0.04394955869499305
9,Real Life,Pro Clinton,favorDT_rev,2,0.01046471260844417,0.08621398576234915,0.44159823002967585,0,0
11,America,Pro Sanders,favorBS_rev,3,0.033465279203961036,0.0688574866447676,0.790237254313244,0,0
30,Love/Kindness,Pro Clinton,favorHC_rev,2,0.14147483331784333,0.08413790054909291,0.3873672855779439,0,0
33,Speak,Anti Trump,favorDT_rev,2,0.05355502357643514,0.0811880197309839,0.23210477695125928,0.004754936069188276,0.06895604447173777
47,Role Model,Anti Trump,favorDT_rev,2,-0.051957464508215506,0.04750345620055001,0.3216979128428895,0,0
63,Mirrors,Anti Trump,favorDT_rev,2,0.01664634749126473,0.11955164533159315,0.09527083179534375,0.01838653078012972,0.13559694237013503
