ad_id,ad_title,ad_valence,date,outcome,estimate,std.error,conf.low,conf.high,p.value
8,Quotes,Anti Trump,2016-03-21,favorDT_rev,-0.18507308781016693,0.12487523422548674,-0.4304276178030696,0.06028144218273576,0.13896345751082376
8,Quotes,Anti Trump,2016-04-05,favorDT_rev,-0.15242214559105557,0.11877409587531201,-0.3857938921422064,0.08094960096009526,0.19999799010399424
8,Quotes,Anti Trump,2016-05-23,favorDT_rev,0.06660203063067907,0.12547919916779632,-0.18010223112436066,0.31330629238571883,0.5958739118192128
8,Quotes,Anti Trump,2016-10-10,favorDT_rev,0.028029186174023293,0.09614398844205996,-0.160762736396882,0.21682110874492855,0.7707368272548104
9,Real Life,Pro Clinton,2016-03-21,favorDT_rev,0.07746563836460621,0.12253252266126029,-0.16328714727035024,0.3182184239995627,0.5275473835521993
9,Real Life,Pro Clinton,2016-04-05,favorDT_rev,-0.055223687697489095,0.12132640125266604,-0.29361273749399375,0.18316536209901554,0.6491928771907115
11,America,Pro Sanders,2016-03-28,favorBS_rev,-0.015915365066694387,0.11831718045563526,-0.24841534052751413,0.21658461039412535,0.8930537740722623
11,America,Pro Sanders,2016-05-16,favorBS_rev,0.09509706631920732,0.11634465022486419,-0.133680587723772,0.3238747203621866,0.41423944844355864
11,America,Pro Sanders,2016-05-30,favorBS_rev,0.017829573145982273,0.12346648832355443,-0.22490028667868864,0.2605594329706532,0.885251421895257
30,Love/Kindness,Pro Clinton,2016-05-16,favorHC_rev,0.21062647613445185,0.11609950787613742,-0.017613252126063544,0.43886620439496726,0.07039579164578219
30,Love/Kindness,Pro Clinton,2016-05-30,favorHC_rev,0.06498353775226129,0.12210547468099707,-0.1750706271922598,0.3050377026967824,0.5948908351253506
33,Speak,Anti Trump,2016-05-23,favorDT_rev,0.17925638893978485,0.13280584223919004,-0.08183223718955368,0.4403450150691234,0.17785925849937992
33,Speak,Anti Trump,2016-06-20,favorDT_rev,0.0011172912671219555,0.06772203665272948,-0.13173821042704512,0.13397279296128903,0.9868394554942934
47,Role Model,Anti Trump,2016-07-18,favorDT_rev,-0.005114456441116772,0.06701489487962482,-0.1365813276699238,0.12635241478769027,0.9391774646023617
47,Role Model,Anti Trump,2016-08-15,favorDT_rev,-0.09926505336748133,0.06734639599041804,-0.23138419420412665,0.032854087469163976,0.14073707951740677
63,Mirrors,Anti Trump,2016-09-26,favorDT_rev,0.1439716815244114,0.1100809057376164,-0.07231499097684793,0.36025835402567075,0.1915276449512157
63,Mirrors,Anti Trump,2016-10-10,favorDT_rev,-0.09560622196023205,0.09223179749861034,-0.27670832995907735,0.08549588603861322,0.30030716405116614
